Date,Open,High,Low,Close,Adj Close,Volume
2022-09-20,71.500000,71.510002,70.500000,71.080002,66.752213,5693300
2022-09-21,71.360001,71.410004,70.190002,70.220001,65.944580,4684500
2022-09-22,70.459999,70.750000,69.800003,69.879997,65.625275,4298300
2022-09-23,69.209999,69.300003,68.309998,69.230003,65.014854,8366500
2022-09-26,68.519997,68.849998,66.930000,67.300003,63.202370,13441700
2022-09-27,67.699997,67.830002,66.500000,66.760002,62.695244,5195100
2022-09-28,66.500000,67.449997,66.220001,67.000000,62.920631,8542700
2022-09-29,66.639999,66.639999,65.489998,66.089996,62.066032,4710300
2022-09-30,66.339996,66.690002,65.669998,65.699997,61.699780,3564700
2022-10-03,65.000000,66.000000,64.910004,65.580002,62.567986,5475300
2022-10-04,66.169998,67.720001,66.150002,67.110001,64.027718,12530900
2022-10-05,66.550003,66.660004,65.879997,66.559998,63.502979,6611400
2022-10-06,66.430000,66.489998,65.080002,65.330002,62.329468,3629500
2022-10-07,65.099998,65.230003,64.260002,64.860001,61.881058,3915200
2022-10-11,64.260002,64.709999,63.689999,64.059998,61.117798,10871300
2022-10-12,64.010002,64.680000,63.700001,64.029999,61.089176,4333700
2022-10-13,63.500000,66.180000,63.189999,65.870003,62.844669,6236100
2022-10-14,66.500000,66.669998,65.389999,65.470001,62.463043,6045400
2022-10-17,66.250000,66.529999,65.879997,66.169998,63.130886,10372300
2022-10-18,67.199997,67.339996,66.180000,66.540001,63.483894,2498000
2022-10-19,65.919998,65.919998,64.459999,64.889999,61.909679,5895800
2022-10-20,64.739998,65.330002,63.900002,63.950001,61.012852,5725700
2022-10-21,63.880001,65.139999,63.700001,64.849998,61.871513,2458900
2022-10-24,65.269997,65.360001,64.480003,64.650002,61.680702,5709900
2022-10-25,64.339996,65.400002,64.029999,65.339996,62.339005,4200700
2022-10-26,65.220001,65.970001,64.970001,65.389999,62.386715,4043300
2022-10-27,65.669998,66.050003,65.489998,65.739998,62.720638,3601800
2022-10-28,66.059998,66.599998,65.919998,66.180000,63.140427,2423100
2022-10-31,66.269997,66.550003,65.720001,65.849998,62.825584,4578500
2022-11-01,66.400002,66.570000,65.660004,65.989998,62.959152,2713500
2022-11-02,65.900002,66.470001,65.419998,65.540001,62.529827,3265300
2022-11-03,65.199997,65.339996,64.669998,64.809998,61.833351,3351200
2022-11-04,65.330002,66.139999,65.250000,65.849998,62.825584,3169600
2022-11-07,66.150002,66.349998,65.699997,66.220001,63.178596,2358600
2022-11-08,66.300003,66.879997,66.050003,66.480003,63.426651,1760100
2022-11-09,66.330002,66.470001,65.860001,66.010002,62.978245,2479100
2022-11-10,67.230003,69.639999,67.000000,69.040001,65.869072,6081700
2022-11-11,69.279999,69.360001,68.139999,68.680000,65.525604,2828000
2022-11-14,68.690002,68.809998,68.239998,68.480003,65.334801,4286700
2022-11-15,69.199997,69.559998,68.500000,69.550003,66.355659,2570500
2022-11-16,69.410004,69.550003,68.480003,68.809998,65.649635,2848100
2022-11-17,68.370003,68.949997,68.269997,68.809998,65.649635,2099600
2022-11-18,69.190002,69.430000,68.760002,69.040001,65.869072,3140700
2022-11-21,69.040001,70.209999,68.889999,70.190002,66.966255,2988200
2022-11-22,70.360001,70.940002,69.930000,70.510002,67.271561,2706800
2022-11-23,70.510002,71.070000,70.279999,70.910004,67.653183,2625800
2022-11-24,71.059998,71.459999,70.900002,71.029999,67.767677,2249000
2022-11-25,71.250000,71.500000,71.080002,71.360001,68.082520,2884200
2022-11-28,71.349998,71.750000,70.870003,71.459999,68.177925,3672400
2022-11-29,71.000000,71.190002,69.260002,69.669998,66.470139,5414300
2022-11-30,69.779999,70.320000,68.419998,70.180000,66.956711,6020400
2022-12-01,70.199997,70.410004,69.349998,70.160004,66.937637,2862900
2022-12-02,69.660004,69.720001,68.930000,68.940002,65.773666,4419400
2022-12-05,68.910004,68.980003,67.690002,67.949997,64.829132,7759100
2022-12-06,68.110001,68.529999,67.709999,68.339996,65.201218,3311400
2022-12-07,68.279999,68.389999,67.739998,67.970001,64.848221,3141200
2022-12-08,68.080002,68.349998,67.599998,68.139999,65.010406,4220500
2022-12-09,68.230003,68.849998,68.150002,68.660004,65.506531,2337500
2022-12-12,68.589996,68.650002,67.400002,68.190002,65.058121,8467800
2022-12-13,69.070000,69.250000,67.330002,67.639999,64.533371,5284000
2022-12-14,67.629997,67.949997,66.480003,66.620003,63.560226,5126400
2022-12-15,66.199997,66.400002,65.070000,65.500000,62.491665,10736800
2022-12-16,65.050003,65.720001,64.980003,65.239998,62.243603,11494100
2022-12-19,65.320000,65.580002,64.059998,64.480003,61.518513,9698700
2022-12-20,64.910004,65.949997,64.510002,65.290001,62.291313,5032700
2022-12-21,65.720001,66.389999,65.690002,65.860001,62.835129,1713200
