Date,Open,High,Low,Close,Adj Close,Volume
2022-09-20,88.199997,88.330002,86.919998,87.790001,83.942360,3183800
2022-09-21,88.080002,88.129997,86.010002,86.050003,82.278618,2914600
2022-09-22,86.400002,86.550003,85.639999,86.220001,82.441162,5305600
2022-09-23,85.260002,85.330002,83.650002,84.370003,80.672256,7484900
2022-09-26,83.779999,85.300003,83.580002,84.940002,81.217270,10073000
2022-09-27,85.430000,85.589996,84.000000,84.400002,80.700935,2704800
2022-09-28,83.980003,85.940002,83.199997,85.449997,81.704903,3257300
2022-09-29,84.769997,85.250000,83.339996,84.959999,81.236397,3737600
2022-09-30,84.809998,85.860001,84.620003,84.720001,81.006905,7109300
2022-10-03,85.250000,86.959999,84.849998,86.370003,82.584587,9849800
2022-10-04,87.730003,88.669998,87.650002,87.989998,84.133583,15708300
2022-10-05,87.050003,87.949997,86.860001,87.480003,83.645943,8872800
2022-10-06,86.230003,86.300003,83.000000,83.430000,80.593384,6668900
2022-10-07,82.739998,82.949997,81.419998,82.239998,79.443840,5276800
2022-10-11,81.019997,81.839996,80.519997,80.830002,78.081779,9599600
2022-10-12,80.839996,81.639999,80.449997,80.980003,78.226677,7530700
2022-10-13,80.309998,84.779999,79.900002,84.309998,81.443451,7752800
2022-10-14,85.309998,85.830002,84.699997,84.910004,82.023064,6373100
2022-10-17,85.750000,86.269997,85.269997,85.379997,82.477081,10800900
2022-10-18,86.500000,87.160004,86.279999,86.680000,83.732880,5448700
2022-10-19,86.430000,86.489998,84.949997,85.709999,82.795853,4836200
2022-10-20,85.610001,85.989998,84.570000,84.919998,82.032722,5633500
2022-10-21,84.870003,86.580002,84.529999,86.260002,83.327156,4288200
2022-10-24,86.750000,87.070000,86.269997,86.570000,83.626617,8977800
2022-10-25,86.080002,87.660004,85.690002,87.290001,84.322136,6880700
2022-10-26,86.820000,88.169998,86.610001,87.110001,84.148262,4878700
2022-10-27,87.339996,88.160004,86.989998,87.269997,84.302811,3351300
2022-10-28,87.379997,87.809998,87.059998,87.709999,84.727859,3706300
2022-10-31,87.699997,88.129997,86.750000,87.190002,84.225540,4350000
2022-11-01,87.900002,88.300003,87.379997,87.750000,84.766495,3458300
2022-11-02,87.489998,88.180000,86.930000,87.050003,84.090302,6384400
2022-11-03,86.470001,87.099998,86.010002,86.769997,83.819809,2255300
2022-11-04,87.410004,88.349998,87.309998,87.970001,84.979019,3651000
2022-11-07,88.269997,89.070000,88.120003,88.360001,85.355759,4887800
2022-11-08,88.309998,88.940002,88.199997,88.459999,85.452354,3891800
2022-11-09,88.000000,88.279999,87.279999,87.599998,84.621597,2378800
2022-11-10,88.959999,89.680000,88.400002,89.290001,86.254143,3984800
2022-11-11,89.550003,89.550003,87.629997,88.440002,85.433044,3125300
2022-11-14,88.300003,88.750000,87.800003,87.900002,84.911407,5068700
2022-11-15,88.699997,88.699997,87.160004,87.720001,84.737526,2509800
2022-11-16,87.779999,88.169998,87.209999,88.129997,85.133575,3213100
2022-11-17,87.459999,88.750000,87.459999,88.730003,85.713181,3668400
2022-11-18,89.419998,89.809998,89.080002,89.419998,86.379715,4196700
2022-11-21,89.269997,89.970001,89.260002,89.760002,86.708160,4237600
2022-11-22,90.000000,90.790001,89.959999,90.739998,87.654831,3598700
2022-11-23,90.580002,91.379997,90.389999,90.940002,87.848045,2137900
2022-11-24,90.900002,91.330002,90.690002,90.959999,87.867355,661300
2022-11-25,90.959999,91.370003,90.809998,91.019997,87.925316,1265700
2022-11-28,90.709999,90.970001,89.269997,89.970001,86.911018,4387800
2022-11-29,90.019997,90.190002,89.050003,89.589996,86.543938,2464900
2022-11-30,89.599998,89.889999,88.669998,89.529999,86.485977,6693900
2022-12-01,90.489998,91.839996,90.120003,91.839996,88.717430,3913700
2022-12-02,91.720001,92.860001,91.500000,92.360001,89.219757,2417500
2022-12-05,91.910004,92.269997,90.699997,91.320000,88.215126,3741600
2022-12-06,91.500000,91.750000,89.599998,90.169998,87.104218,3672000
2022-12-07,90.180000,90.370003,89.199997,89.269997,86.234810,3676800
2022-12-08,89.480003,89.959999,89.059998,89.889999,86.833733,1820600
2022-12-09,89.959999,90.910004,89.940002,90.550003,87.471306,3456400
2022-12-12,90.510002,91.279999,89.889999,91.150002,88.050896,7294400
2022-12-13,91.650002,91.800003,88.260002,88.650002,85.635895,5901200
2022-12-14,88.699997,88.870003,87.480003,87.500000,84.524994,2953600
2022-12-15,86.800003,87.070000,86.160004,86.900002,83.945396,5176100
2022-12-16,86.169998,87.099998,86.089996,86.629997,83.684578,12453200
2022-12-19,86.760002,87.389999,86.040001,86.610001,83.665260,6218400
2022-12-20,86.900002,88.120003,86.620003,87.559998,84.582954,6312400
2022-12-21,88.250000,88.559998,87.830002,88.099998,85.104591,3299100
2022-12-22,87.790001,87.839996,86.820000,87.820000,84.834122,5391900
2022-12-23,87.820000,88.440002,87.730003,88.330002,85.326782,4177900
2022-12-28,88.290001,88.599998,87.250000,87.559998,84.582954,5697100
